customer_id,age,income,credit_score,loan_amount,employment_status,marital_status,region,has_other_loans,repaid_loan
C0000,26,46471.27058781229,854.7436337569078,10249.060316019328,Retired,Married,North,0,0
C0001,42,19255.27290543298,546.7436337569078,20402.282594992474,Employed,Single,North,1,1
C0002,21,70968.78022536836,744.7436337569078,28141.725971643944,Self-Employed,Married,South,0,0
C0003,57,51861.94060188836,747.7436337569078,20268.045343756203,Employed,Married,West,1,0
C0004,41,61455.1516779517,474.74363375690774,10380.265960348072,Employed,Married,West,0,1
C0005,33,59993.28937539032,502.74363375690774,19876.48497365566,Employed,Single,North,0,0
C0006,66,53488.61045394183,560.7436337569078,20127.489177678548,Self-Employed,Single,North,0,1
C0007,28,46185.60093646231,561.7436337569078,10393.708321121117,Employed,Single,North,0,0
C0008,48,30772.49264080236,581.7436337569078,16412.813648269304,Retired,Married,North,1,1
C0009,52,45042.4816166997,859.7436337569078,19434.580790876815,Self-Employed,Divorced,East,1,0
C0010,20,49724.481751618805,819.7436337569078,26862.21164230853,Employed,Single,South,1,0
C0011,52,59447.11536700393,716.7436337569078,20335.660890138835,Employed,Married,North,0,0
C0012,32,66125.7343939504,578.7436337569078,8566.311988360467,Employed,Married,South,0,1
C0013,52,69936.06239425912,434.74363375690774,20477.896711871115,Employed,Married,North,0,0
C0014,67,36336.56480075344,662.7436337569078,18065.29280083464,Self-Employed,Married,West,1,1
C0015,66,50227.40038040317,731.7436337569078,14106.456229062243,Self-Employed,Single,South,1,0
C0016,42,56824.72486958329,512.7436337569078,10993.830553188782,Employed,Single,West,0,1
C0017,33,52141.88668817895,694.7436337569078,19668.770657606612,Employed,Married,North,0,0
C0018,54,71210.89928216391,470.74363375690774,22176.10127906653,Employed,Single,East,1,0
C0019,61,47266.449265624775,646.7436337569078,21133.56985311243,Employed,Married,South,0,0
C0020,34,71800.09897922432,645.7436337569078,17713.227454394637,Employed,Single,North,1,1
C0021,27,47260.7975266039,648.7436337569078,9309.004203659635,Retired,Married,South,1,0
C0022,47,44149.67250558703,402.74363375690774,16708.350265962486,Employed,Single,East,0,0
C0023,40,29406.789651502695,759.7436337569078,16266.55730926687,Employed,Married,North,0,1
C0024,20,63803.2256587951,513.7436337569078,16276.255386417271,Employed,Married,West,1,1
C0025,45,72270.75999757189,755.7436337569078,12589.514834696309,Employed,Married,South,0,0
C0026,62,64112.57529281111,646.7436337569078,15053.575204839526,Employed,Single,South,0,0
C0027,22,47398.033914387306,566.7436337569078,10765.130106018554,Employed,Married,South,1,0
C0028,49,63063.382539908765,420.74363375690774,17324.38141099097,Employed,Married,North,1,0
C0029,19,40526.20124328327,659.7436337569078,14273.571926648963,Self-Employed,Married,South,1,1
C0030,31,70059.35649473041,819.7436337569078,19992.445290996176,Employed,Single,East,1,1
C0031,37,22986.457759939596,369.74363375690774,5054.599565842045,Employed,Married,East,1,1
C0032,54,45709.143041444135,663.7436337569078,20115.305328408613,Unemployed,Married,South,0,0
C0033,22,27522.4219254737,629.7436337569078,13182.220874290153,Employed,Married,South,1,1
C0034,45,44423.05522253935,364.74363375690774,12382.934866059866,Employed,Single,West,0,1
C0035,21,33849.83168615178,452.74363375690774,14775.743299243512,Self-Employed,Married,South,1,0
C0036,25,49291.289704874034,334.74363375690774,17132.72752530579,Self-Employed,Married,West,0,0
C0037,67,61165.38497180179,515.7436337569078,18709.535640234102,Employed,Single,North,0,1
C0038,65,51176.930038800565,457.74363375690774,10984.079056434064,Employed,Married,East,1,1
C0039,19,57180.679016701724,489.74363375690774,15070.962174944945,Self-Employed,Single,North,1,1
C0040,32,47738.834243045974,734.7436337569078,14563.189455774673,Employed,Married,South,1,1
C0041,25,66480.16411941603,737.7436337569078,15775.098941660452,Employed,Married,East,0,1
C0042,34,68246.91837871596,527.7436337569078,17982.08071242179,Retired,Married,East,1,1
C0043,20,30056.320089101806,668.7436337569078,21268.32793183843,Self-Employed,Married,South,1,0
C0044,59,66957.93842697711,855.7436337569078,16416.588736547223,Employed,Married,East,0,1
C0045,48,64838.71937914586,402.74363375690774,12552.702603225223,Employed,Married,North,1,1
C0046,37,67381.54022353115,780.7436337569078,16761.196014165915,Self-Employed,Single,South,0,0
C0047,52,56049.944974674334,677.7436337569078,21303.932122564493,Employed,Divorced,West,1,0
C0048,45,31374.441413578894,791.7436337569078,14127.937686557461,Retired,Single,South,1,1
C0049,64,64456.41714031298,669.7436337569078,15314.307912266078,Employed,Single,South,0,0
C0050,67,47240.99630159362,577.7436337569078,11498.19177346971,Employed,Divorced,East,1,0
C0051,48,56041.239534821536,695.7436337569078,11926.45426741936,Retired,Single,North,0,1
C0052,66,16362.73881301792,755.7436337569078,14177.427314556899,Employed,Divorced,East,0,1
C0053,65,63065.008337933206,412.74363375690774,4913.181277275584,Retired,Married,North,0,0
C0054,57,64890.94895673885,564.7436337569078,11913.059525752693,Retired,Single,East,0,0
C0055,63,84625.75066036644,567.7436337569078,16368.777069005428,Unemployed,Married,South,1,1
C0056,56,71252.29202855115,459.74363375690774,16498.95219933078,Self-Employed,Married,North,0,1
C0057,62,49188.64459571342,533.7436337569078,16408.61363916086,Self-Employed,Married,South,1,1
C0058,36,77067.15762841601,568.7436337569078,7100.24446120419,Employed,Married,North,0,1
C0059,18,30110.39648679904,619.7436337569078,16712.17888720783,Employed,Married,South,0,0
C0060,52,110859.08819724091,368.74363375690774,10553.352745223125,Retired,Married,North,0,1
C0061,28,98798.30884265713,738.7436337569078,11772.410850840251,Unemployed,Married,North,1,0
C0062,35,64193.66819205075,491.74363375690774,14591.772596649582,Unemployed,Married,East,0,1
C0063,26,37846.74639472564,753.7436337569078,19254.457393525397,Employed,Single,South,0,1
C0064,31,53542.02103430202,487.74363375690774,15065.092869380436,Employed,Married,West,0,1
C0065,60,62370.280032507806,397.74363375690774,14718.248630907834,Employed,Divorced,North,1,1
C0066,48,56929.81672253167,771.7436337569078,9584.955501770488,Employed,Single,North,0,1
C0067,35,62373.502868203366,474.74363375690774,11896.067029324033,Employed,Single,North,0,0
C0068,22,67862.10168550158,381.74363375690774,12203.715265192963,Employed,Single,North,1,0
C0069,68,43752.44279550318,514.7436337569078,13895.53811691664,Employed,Single,South,1,0
C0070,58,53435.65329810278,682.7436337569078,16503.486612937944,Unemployed,Single,West,0,1
C0071,45,50107.990442582755,764.7436337569078,7566.5818727724545,Self-Employed,Single,West,1,1
C0072,45,54688.289805479595,331.74363375690774,18099.067218144908,Retired,Divorced,South,0,1
C0073,37,62064.38649440771,803.7436337569078,11890.956675006815,Self-Employed,Married,North,1,0
C0074,32,21969.77762776216,636.7436337569078,7942.852345190235,Self-Employed,Married,East,1,1
C0075,18,53182.38798482361,494.74363375690774,19662.00067418615,Employed,Married,South,1,0
C0076,31,78443.31609853143,484.74363375690774,11525.974124909022,Self-Employed,Married,North,0,0
C0077,30,45287.9828201722,778.7436337569078,19928.74468009745,Employed,Divorced,South,0,0
C0078,60,37009.43380314447,769.7436337569078,17790.919328333806,Employed,Divorced,South,1,0
C0079,21,41002.412413493665,621.7436337569078,7872.036908612,Self-Employed,Divorced,North,0,0
C0080,24,62401.00534260197,362.74363375690774,16118.332200828529,Self-Employed,Married,West,1,1
C0081,21,23791.627920425606,488.74363375690774,20020.59687298841,Employed,Married,West,0,0
C0082,38,54843.73954030281,363.74363375690774,11176.556852486001,Employed,Married,East,1,1
C0083,33,1901.9674510915677,511.74363375690774,14810.929438523739,Self-Employed,Single,West,0,1
C0084,28,74873.18569326999,602.7436337569078,13785.664353377957,Employed,Married,South,0,0
C0085,41,50312.756190741544,467.74363375690774,19195.339103674218,Retired,Divorced,South,1,0
C0086,65,72437.57507608863,330.74363375690774,17292.15259944554,Employed,Single,West,1,0
C0087,21,42773.211113157784,676.7436337569078,14594.897434654142,Self-Employed,Single,East,1,0
C0088,59,55631.34138413875,494.74363375690774,11878.159439974255,Retired,Married,South,1,0
C0089,66,88397.96628730444,646.7436337569078,12122.392206073833,Employed,Married,East,1,0
C0090,61,35800.04014616462,580.7436337569078,19513.440776276802,Employed,Married,South,0,0
C0091,54,65915.41536326225,383.74363375690774,23841.558315280614,Unemployed,Married,East,0,0
C0092,23,17139.612073984426,598.7436337569078,20000.340270178825,Employed,Married,South,1,0
C0093,25,11524.30963276145,593.7436337569078,14321.762464631425,Self-Employed,Married,East,1,1
C0094,56,62006.19662418146,480.74363375690774,15068.686063856538,Employed,Single,West,1,1
C0095,40,52022.21571864918,320.74363375690774,15767.120352157452,Employed,Married,North,1,1
C0096,48,43713.09047538977,642.7436337569078,12376.547483860904,Unemployed,Married,North,0,0
C0097,52,51234.13230605059,379.74363375690774,23308.63148538057,Employed,Single,North,1,0
C0098,60,43405.797862385036,550.7436337569078,12889.66972418623,Employed,Divorced,South,1,1
C0099,38,56044.22762497555,488.74363375690774,10278.295535258,Employed,Divorced,South,1,1
C0100,49,63309.13279484202,335.74363375690774,10619.234454769467,Employed,Married,South,1,1
C0101,68,66619.946903408,366.74363375690774,22836.613484331938,Employed,Divorced,East,1,0
C0102,63,51657.256862578346,408.74363375690774,14499.06434974686,Employed,Single,North,0,1
C0103,30,64023.887882867086,711.7436337569078,12265.832666482163,Self-Employed,Married,North,1,0
C0104,51,61988.28863018853,700.7436337569078,12156.675831903745,Employed,Married,North,1,1
C0105,56,57446.77643427763,444.74363375690774,11892.732870359127,Self-Employed,Divorced,East,1,1
C0106,60,43510.58093196197,362.74363375690774,16624.710448943883,Retired,Single,North,1,0
C0107,40,8961.126626776719,836.7436337569078,17833.52054624429,Employed,Single,North,0,1
C0108,18,48425.04106470154,847.7436337569078,11345.55793895237,Retired,Married,South,0,0
C0109,52,47777.58122471164,596.7436337569078,11912.215737589851,Retired,Married,South,1,1
C0110,37,26698.8896714772,474.74363375690774,12961.432189994688,Employed,Married,South,0,1
C0111,22,63580.2216452184,334.74363375690774,15537.209692277822,Employed,Divorced,West,0,1
C0112,68,51584.28899688592,492.74363375690774,12460.085002481146,Employed,Single,North,0,0
C0113,22,30597.572342513453,422.74363375690774,6899.913088002748,Employed,Married,North,1,1
C0114,53,64736.914281099715,745.7436337569078,13141.153738591498,Retired,Divorced,East,0,1
C0115,41,63584.36588058656,699.7436337569078,17267.85483623342,Self-Employed,Single,West,0,0
C0116,27,69529.57786967781,603.7436337569078,14900.452131221718,Employed,Single,South,1,0
C0117,66,33419.89581405744,459.74363375690774,21640.820835619576,Employed,Married,South,0,0
C0118,66,59683.41977542267,422.74363375690774,20828.858131413966,Employed,Divorced,East,1,1
