transaction_id,timestamp,amount,merchant_category,customer_age,account_age_days,transaction_count_24h,region,device_type,is_international,is_fraud
T000000,2025-01-01 00:00:00,,Retail,45,2954,5,South,Desktop,0,0
T000001,2025-01-01 01:00:00,301.0121430917521,Online,24,1834,4,North,Mobile,0,0
T000002,2025-01-01 02:00:00,131.67456935454493,Food,52,2368,4,South,Mobile,0,0
T000003,2025-01-01 03:00:00,,Services,72,126,4,South,Mobile,0,1
T000004,2025-01-01 04:00:00,16.962487046234628,Food,45,277,5,East,Tablet,1,0
T000005,2025-01-01 05:00:00,16.959629191460518,Services,31,2000,1,South,Mobile,1,0
T000006,2025-01-01 06:00:00,5.983876860868068,Services,73,1228,1,South,Mobile,0,0
T000007,2025-01-01 07:00:00,201.12308644799396,Food,27,2242,2,South,Mobile,1,0
T000008,2025-01-01 08:00:00,91.90821536272645,Retail,33,3619,3,North,Desktop,1,0
T000009,2025-01-01 09:00:00,123.12500617045903,Online,33,696,3,West,Mobile,1,0
T000010,2025-01-01 10:00:00,2.0799307999138623,Retail,-1,1310,3,East,Mobile,1,0
T000011,2025-01-01 11:00:00,350.3557475158312,Travel,48,57,3,North,Mobile,0,0
T000012,2025-01-01 12:00:00,178.6429543354675,Travel,59,3375,4,North,Desktop,1,0
T000013,2025-01-01 13:00:00,,Retail,42,3235,3,West,Mobile,1,0
T000014,2025-01-01 14:00:00,20.067898874966335,Services,30,19,6,North,Mobile,1,0
T000015,2025-01-01 15:00:00,20.261142283225706,Travel,23,3442,2,West,Mobile,0,0
T000016,2025-01-01 16:00:00,36.27537294604771,Retail,61,2312,3,North,Mobile,1,0
T000017,2025-01-01 17:00:00,74.39278308608544,Services,26,2842,3,West,Desktop,0,0
T000018,2025-01-01 18:00:00,56.55370667803366,Travel,62,113,2,West,Mobile,0,0
T000019,2025-01-01 19:00:00,,Retail,53,3560,0,East,Tablet,0,0
T000020,2025-01-01 20:00:00,94.63708738997987,Services,73,3399,2,North,Tablet,0,1
T000021,2025-01-01 21:00:00,15.023452872733866,Retail,60,542,8,South,Mobile,1,0
T000022,2025-01-01 22:00:00,34.551551200240226,Travel,37,2695,4,South,Desktop,0,1
T000023,2025-01-01 23:00:00,45.6277218220847,Travel,35,579,3,South,Desktop,0,1
T000024,2025-01-02 00:00:00,,Travel,75,1089,4,South,Desktop,0,0
T000025,2025-01-02 01:00:00,153.7936011030912,Online,60,3364,3,North,Mobile,0,0
T000026,2025-01-02 02:00:00,22.273586212869027,Food,74,25,5,East,Mobile,0,0
T000027,2025-01-02 03:00:00,72.20291550331277,Food,38,1573,2,East,Mobile,1,0
T000028,2025-01-02 04:00:00,89.75047213097605,Online,21,2049,3,South,Desktop,0,0
T000029,2025-01-02 05:00:00,4.756384975640855,Food,67,2959,5,North,Mobile,1,0
T000030,2025-01-02 06:00:00,93.533302064961,Retail,50,1573,3,West,Mobile,1,0
T000031,2025-01-02 07:00:00,18.696125197741644,Services,44,141,3,South,Mobile,0,1
T000032,2025-01-02 08:00:00,6.726393087930424,Retail,24,1768,2,West,Mobile,1,0
T000033,2025-01-02 09:00:00,297.3687793506931,Retail,23,648,2,South,Mobile,1,0
T000034,2025-01-02 10:00:00,337.06303424611724,Retail,32,2236,2,North,Mobile,1,0
T000035,2025-01-02 11:00:00,165.23315728128767,Services,35,3200,7,South,Mobile,0,0
T000036,2025-01-02 12:00:00,36.32878599687583,Online,49,201,3,South,Tablet,0,0
T000037,2025-01-02 13:00:00,,Services,73,3199,1,West,Mobile,0,0
T000038,2025-01-02 14:00:00,,Retail,28,257,7,East,Desktop,0,0
T000039,2025-01-02 15:00:00,,Online,37,547,8,South,Mobile,0,1
T000040,2025-01-02 16:00:00,13.015223395444863,Online,41,2242,6,West,Mobile,0,0
T000041,2025-01-02 17:00:00,68.35472281341501,Food,32,2751,3,South,Desktop,0,0
T000042,2025-01-02 18:00:00,3.4993721443479084,Online,65,3176,4,West,Desktop,1,0
T000043,2025-01-02 19:00:00,240.04228873930236,Services,24,3607,1,West,Mobile,1,0
T000044,2025-01-02 20:00:00,29.94577768406861,Food,38,3337,2,North,Tablet,0,0
T000045,2025-01-02 21:00:00,108.62557985649804,Services,59,802,2,South,Tablet,1,0
T000046,2025-01-02 22:00:00,37.354658165762366,Retail,43,942,4,South,Tablet,0,0
T000047,2025-01-02 23:00:00,73.41108959092286,Retail,61,3456,5,East,Mobile,0,0
T000048,2025-01-03 00:00:00,79.12237979817975,Food,73,3332,0,East,Mobile,0,0
T000049,2025-01-03 01:00:00,20.438859950790576,Retail,31,414,1,West,Desktop,1,0
T000050,2025-01-03 02:00:00,349.28071327362267,Food,74,2015,4,East,Desktop,0,0
T000051,2025-01-03 03:00:00,149.22453771381407,Online,54,1382,0,North,Mobile,0,0
T000052,2025-01-03 04:00:00,280.50944192915824,Travel,75,1099,5,North,Desktop,0,0
T000053,2025-01-03 05:00:00,,Food,38,3427,2,East,Mobile,0,0
T000054,2025-01-03 06:00:00,91.1054412383275,Travel,35,910,0,North,Mobile,1,1
T000055,2025-01-03 07:00:00,254.9435379269405,Online,22,188,4,West,Mobile,0,0
T000056,2025-01-03 08:00:00,9.265545895311563,Food,20,2016,2,South,Desktop,1,0
T000057,2025-01-03 09:00:00,21.813469463126744,Online,40,1314,3,South,Mobile,1,0
T000058,2025-01-03 10:00:00,4.628196568683196,Online,43,2093,2,North,Desktop,0,0
T000059,2025-01-03 11:00:00,39.35320868030868,Services,54,3645,4,East,Mobile,0,0
T000060,2025-01-03 12:00:00,49.21302917942186,Food,41,2131,4,North,Desktop,1,0
T000061,2025-01-03 13:00:00,31.65604432088257,Travel,66,1147,2,West,Tablet,1,0
T000062,2025-01-03 14:00:00,176.45578652409338,Food,36,358,7,South,Desktop,1,0
T000063,2025-01-03 15:00:00,44.12269995298701,Online,68,1552,4,West,Tablet,1,0
